Pa_n._ A shortened form of Papa.
Pack_n._ To make a pack of; to arrange closely and securely in a pack; hence, to place and arrange compactly as in a pack; to press into close order or narrow compass; as to pack goods in a box; to pack fish._ To fill in the manner of a pack, that is, compactly and securely, as for transportation; hence, to fill closely or to repletion; to stow away within; to cause to be full; to crowd into; as, to pack a trunk; the play, or the audience, packs the theater._ To sort and arrange (the cards) in a pack so as to secure the game unfairly._ Hence: To bring together or make up unfairly and fraudulently, in order to secure a certain result; as, to pack a jury or a causes._ To contrive unfairly or fraudulently; to plot._ To load with a pack; hence, to load; to encumber; as, to pack a horse._ To cause to go; to send away with baggage or belongings; esp., to send away peremptorily or suddenly; -- sometimes with off; as, to pack a boy off to school._ To transport in a pack, or in the manner of a pack (i. e., on the backs of men or beasts)._ To envelop in a wet or dry sheet, within numerous coverings. See Pack, n., 5._ To render impervious, as by filling or surrounding with suitable material, or to fit or adjust so as to move without giving passage to air, water, or steam; as, to pack a joint; to pack the piston of a steam engine.
Pack_v. i._ To make up packs, bales, or bundles; to stow articles securely for transportation._ To admit of stowage, or of making up for transportation or storage; to become compressed or to settle together, so as to form a compact mass; as, the goods pack conveniently; wet snow packs well._ To gather in flocks or schools; as, the grouse or the perch begin to pack._ To depart in haste; -- generally with off or away._ To unite in bad measures; to confederate for ill purposes; to join in collusion.
Package_n._ Act or process of packing._ A bundle made up for transportation; a packet; a bale; a parcel; as, a package of goods._ A charge made for packing goods._ A duty formerly charged in the port of London on goods imported or exported by aliens, or by denizens who were the sons of aliens.
Packer_n._ A person whose business is to pack things; especially, one who packs food for preservation; as, a pork packer.
Packet_n._ A small pack or package; a little bundle or parcel; as, a packet of letters._ Originally, a vessel employed by government to convey dispatches or mails; hence, a vessel employed in conveying dispatches, mails, passengers, and goods, and having fixed days of sailing; a mail boat.
Packeted_imp. & p. p._ of Packet
Packeting_p. pr. & vb. n._ of Packet
Packet_v. t._ To make up into a packet or bundle._ To send in a packet or dispatch vessel.
Packet_v. i._ To ply with a packet or dispatch boat.
Packfong_n._ A Chinese alloy of nickel, zinc, and copper, resembling German silver.
Pack herse__ See under 2d Pack.
Packhouse_n._ Warehouse for storing goods.
Packing_n._ The act or process of one who packs._ Any material used to pack, fill up, or make close._ A substance or piece used to make a joint impervious_ A thin layer, or sheet, of yielding or elastic material inserted between the surfaces of a flange joint._ The substance in a stuffing box, through which a piston rod slides._ A yielding ring, as of metal, which surrounds a piston and maintains a tight fit, as inside a cylinder, etc._ Same as Filling._ A trick; collusion.
Packmen_pl. _ of Packman
Packman_n._ One who bears a pack; a peddler.
Pack saddle__ Alt. of Pack thread
Pack thread__ See under 2d Pack.
Packwax_n._ Same as Paxwax.
Packway_n._ A path, as over mountains, followed by pack animals.
Paco_n._ Alt. of Pacos
Pacos_n._ Same as Alpaca._ An earthy-looking ore, consisting of brown oxide of iron with minute particles of native silver.
Pact_v._ An agreement; a league; a compact; a covenant.
Paction_n._ An agreement; a compact; a bargain.
Pactional_a._ Of the nature of, or by means of, a paction.
Pactitious_a._ Setted by a pact, or agreement.
Pactolian_a._ Pertaining to the Pactolus, a river in ancient Lydia famous for its golden sands.
Pacu_n._ A South American freah-water fish (Myleies pacu), of the family Characinidae. It is highly esteemed as food.
Pad_n._ A footpath; a road._ An easy-paced horse; a padnag._ A robber that infests the road on foot; a highwayman; -- usually called a footpad._ The act of robbing on the highway.
Pad_v. t._ To travel upon foot; to tread.
Pad_v. i._ To travel heavily or slowly._ To rob on foot._ To wear a path by walking.
Pad_n._ A soft, or small, cushion; a mass of anything soft; stuffing._ A kind of cushion for writing upon, or for blotting; esp., one formed of many flat sheets of writing paper, or layers of blotting paper; a block of paper._ A cushion used as a saddle without a tree or frame._ A stuffed guard or protection; esp., one worn on the legs of horses to prevent bruising._ A cushionlike thickening of the skin one the under side of the toes of animals._ A floating leaf of a water lily or similar plant._ A soft bag or cushion to relieve pressure, support a part, etc._ A piece of timber fixed on a beam to fit the curve of the deck._ A measure for fish; as, sixty mackerel go to a pad; a basket of soles.
Padded_imp. & p. p._ of Pad
Padding_p. pr. & vb. n._ of Pad
Pad_v. t._ To stuff; to furnish with a pad or padding._ To imbue uniformly with a mordant; as, to pad cloth.
Padar_n._ Groats; coarse flour or meal.
Padder_n._ One who, or that which, pads._ A highwayman; a footpad.
Padding_n._ The act or process of making a pad or of inserting stuffing._ The material with which anything is padded._ Material of inferior value, serving to extend a book, essay, etc._ The uniform impregnation of cloth with a mordant.
Paddle_v. i._ To use the hands or fingers in toying; to make caressing strokes._ To dabble in water with hands or feet; to use a paddle, or something which serves as a paddle, in swimming, in paddling a boat, etc.
Paddled_imp. & p. p._ of Paddle
Paddling_p. pr. & vb. n._ of Paddle
Paddle_v. t._ To pat or stroke amorously, or gently._ To propel with, or as with, a paddle or paddles._ To pad; to tread upon; to trample.
Paddle_v. i._ An implement with a broad blade, which is used without a fixed fulcrum in propelling and steering canoes and boats._ The broad part of a paddle, with which the stroke is made; hence, any short, broad blade, resembling that of a paddle._ One of the broad boards, or floats, at the circumference of a water wheel, or paddle wheel._ A small gate in sluices or lock gates to admit or let off water; -- also called clough._ A paddle-shaped foot, as of the sea turtle._ A paddle-shaped implement for string or mixing._ See Paddle staff (b), below.
Paddlecock_n._ The lumpfish.
Paddlefish_n._ A large ganoid fish (Polyodon spathula) found in the rivers of the Mississippi Valley. It has a long spatula-shaped snout. Called also duck-billed cat, and spoonbill sturgeon.
Padder_n._ One who, or that which, paddles.
Paddlewood_n._ The light elastic wood of the Aspidosperma excelsum, a tree of Guiana having a fluted trunk readily split into planks.
Paddock_n._ A toad or frog._ A small inclosure or park for sporting._ A small inclosure for pasture; esp., one adjoining a stable.
Paddy_a._ Low; mean; boorish; vagabond.
Paddies_pl. _ of Paddy
Paddy_n._ A jocose or contemptuous name for an Irishman._ Unhusked rice; -- commonly so called in the East Indies.
Padelion_n._ A plant with pedately lobed leaves; the lady's mantle.
Padella_n._ A large cup or deep saucer, containing fatty matter in which a wick is placed, -- used for public illuminations, as at St. Peter's, in Rome. Called also padelle.
Pademelon_n._ See Wallaby.
Padesoy_n._ See Paduasoy.
Padge_n._ The barn owl; -- called also pudge, and pudge owl.
Padishah_n._ Chief ruler; monarch; sovereign; -- a title of the Sultan of Turkey, and of the Shah of Persia.
Padlock_n._ A portable lock with a bow which is usually jointed or pivoted at one end so that it can be opened, the other end being fastened by the bolt, -- used for fastening by passing the bow through a staple over a hasp or through the links of a chain, etc._ Fig.: A curb; a restraint.
Padlocked_imp. & p. p._ of Padlock
Padlocking_p. pr. & vb. n._ of Padlock
Padlock_v. t._ To fasten with, or as with, a padlock; to stop; to shut; to confine as by a padlock.
Padnag_n._ An ambling nag.
Padow_n._ A paddock, or toad.
Padroni_pl. _ of Padrone
Padrones_pl. _ of Padrone
Padrone_n._ A patron; a protector._ The master of a small coaster in the Mediterranean._ A man who imports, and controls the earnings of, Italian laborers, street musicians, etc.
Paduasoy_n._ A rich and heavy silk stuff.
Paducahs_n. pl._ See Comanches.
Paean_n._ An ancient Greek hymn in honor of Apollo as a healing deity, and, later, a song addressed to other deities._ Any loud and joyous song; a song of triumph._ See Paeon.
Paedobaptism_n._ Pedobaptism.
Paedogenesis_n._ Reproduction by young or larval animals.
Paedogenetic_a._ Producing young while in the immature or larval state; -- said of certain insects, etc.
Paeon_n._ A foot of four syllables, one long and three short, admitting of four combinations, according to the place of the long syllable.
Paeonine_n._ An artifical red nitrogenous dyestuff, called also red coralline.
Paeony_n._ See Peony.
Pagan_n._ One who worships false gods; an idolater; a heathen; one who is neither a Christian, a Mohammedan, nor a Jew._ Of or pertaining to pagans; relating to the worship or the worshipers of false goods; heathen; idolatrous, as, pagan tribes or superstitions.
Pagandom_n._ The pagan lands; pagans, collectively; paganism.
Paganic_a._ Alt. of Paganical
Paganical_a._ Of or pertaining to pagans or paganism; heathenish; paganish.
Paganish_a._ Of or pertaining to pagans; heathenish.
Paganism_n._ The state of being pagan; pagan characteristics; esp., the worship of idols or false gods, or the system of religious opinions and worship maintained by pagans; heathenism.
Paganity_n._ The state of being a pagan; paganism.
Paganized_imp. & p. p._ of Paganize
Paganizing_p. pr. & vb. n._ of Paganize
Paganize_v. t._ To render pagan or heathenish; to convert to paganism.
Paganize_v. i._ To behave like pagans.
Paganly_adv._ In a pagan manner.
Page_n._ A serving boy; formerly, a youth attending a person of high degree, especially at courts, as a position of honor and education; now commonly, in England, a youth employed for doing errands, waiting on the door, and similar service in households; in the United States, a boy employed to wait upon the members of a legislative body._ A boy child._ A contrivance, as a band, pin, snap, or the like, to hold the skirt of a woman's dress from the ground._ A track along which pallets carrying newly molded bricks are conveyed to the hack._ Any one of several species of beautiful South American moths of the genus Urania.
Page_v. t._ To attend (one) as a page.
Page_n._ One side of a leaf of a book or manuscript._ Fig.: A record; a writing; as, the page of history._ The type set up for printing a page.
Paged_imp. & p. p._ of Page
Paging_p. pr. & vb. n._ of Page
Page_v. t._ To mark or number the pages of, as a book or manuscript; to furnish with folios.
Pageant_n._ A theatrical exhibition; a spectacle._ An elaborate exhibition devised for the entertainmeut of a distinguished personage, or of the public; a show, spectacle, or display.
Pageant_a._ Of the nature of a pageant; spectacular.
Pageant_v. t._ To exhibit in show; to represent; to mimic.
Pageantry_n._ Scenic shows or spectacles, taken collectively; spectacular quality; splendor.
Pagehood_n._ The state of being a page.
Paginae_pl. _ of Pagina
Pagina_n._ The surface of a leaf or of a flattened thallus.
Paginal_a._ Consisting of pages.
Pagination_n._ The act or process of paging a book; also, the characters used in numbering the pages; page number.
Paging_n._ The marking or numbering of the pages of a book.
Pagod_n._" A pagoda. [R.] ""Or some queer pagod."""_ An idol.
Pagoda_n._ A term by which Europeans designate religious temples and tower-like buildings of the Hindoos and Buddhists of India, Farther India, China, and Japan, -- usually but not always, devoted to idol worship._ An idol._ A gold or silver coin, of various kinds and values, formerly current in India. The Madras gold pagoda was worth about three and a half rupees.
Pagodite_n._ Agalmatolite; -- so called because sometimes carved by the Chinese into the form of pagodas. See Agalmatolite.
Paguma_n._ Any one of several species of East Indian viverrine mammals of the genus Paguma. They resemble a weasel in form.
Pagurian_n._ Any one of a tribe of anomuran crustaceans, of which Pagurus is a type; the hermit crab. See Hermit crab, under Hermit.
Pah_interj._ An exclamation expressing disgust or contempt. See Bah.
Pah_n._ A kind of stockaded intrenchment.
Pahi_n._ A large war canoe of the Society Islands.
Pahlevi_n._ Same as Pehlevi.
Pahoehoe_n._ A name given in the Sandwich Islands to lava having a relatively smooth surface, in distinction from the rough-surfaced lava, called a-a.
PahUtes_n. pl._ See Utes.
Paid_imp., p. p., & a._ Receiving pay; compensated; hired; as, a paid attorney._ Satisfied; contented.
Paideutics_n._ The science or art of teaching.
Paien_n. & a._ Pagan.
Paigle_n._ A species of Primula, either the cowslip or the primrose.
Paijama_n._ Pyjama.
Pail_n._ A vessel of wood or tin, etc., usually cylindrical and having a bail, -- used esp. for carrying liquids, as water or milk, etc.; a bucket. It may, or may not, have a cover.
Pailfuls_pl. _ of Pailful
Pailful_n._ The quantity that a pail will hold.
Paillasse_n._ An under bed or mattress of straw.
Pailmall_n. & a._ See Pall-mall.
Pain_n._ Punishment suffered or denounced; suffering or evil inflicted as a punishment for crime, or connected with the commission of a crime; penalty._ Any uneasy sensation in animal bodies, from slight uneasiness to extreme distress or torture, proceeding from a derangement of functions, disease, or injury by violence; bodily distress; bodily suffering; an ache; a smart._ Specifically, the throes or travail of childbirth._ Uneasiness of mind; mental distress; disquietude; anxiety; grief; solicitude; anguish._ See Pains, labor, effort.
Pained_imp. & p. p._ of Pain
Paining_p. pr. & vb. n._ of Pain
Pain_n._ To inflict suffering upon as a penalty; to punish._ To put to bodily uneasiness or anguish; to afflict with uneasy sensations of any degree of intensity; to torment; to torture; as, his dinner or his wound pained him; his stomach pained him._ To render uneasy in mind; to disquiet; to distress; to grieve; as a child's faults pain his parents.
Painable_a._ Causing pain; painful.
Painful_a._ Full of pain; causing uneasiness or distress, either physical or mental; afflictive; disquieting; distressing._ Requiring labor or toil; difficult; executed with laborious effort; as a painful service; a painful march._ Painstaking; careful; industrious.
Painim_n._ A pagan; an infidel; -- used also adjectively.
Painless_a._ Free from pain; without pain.
Pains_n._ Labor; toilsome effort; care or trouble taken; -- plural in form, but used with a singular or plural verb, commonly the former.
Painstaker_n._ One who takes pains; one careful and faithful in all work.
Painstaking_a._ Careful in doing; diligent; faithful; attentive.
Painstaking_n._ The act of taking pains; carefulness and fidelity in performance.
Painsworthy_a._ Worth the pains or care bestowed.
Painted_imp. & p. p._ of Paint
Painting_p. pr. & vb. n._ of Paint
Paint_v. t._ To cover with coloring matter; to apply paint to; as, to paint a house, a signboard, etc._ Fig.: To color, stain, or tinge; to adorn or beautify with colors; to diversify with colors._ To form in colors a figure or likeness of on a flat surface, as upon canvas; to represent by means of colors or hues; to exhibit in a tinted image; to portray with paints; as, to paint a portrait or a landscape._ Fig.: To represent or exhibit to the mind; to describe vividly; to delineate; to image; to depict._ To practice the art of painting; as, the artist paints well._ To color one's face by way of beautifying it.
Paint_n._ A pigment or coloring substance._ The same prepared with a vehicle, as oil, water with gum, or the like, for application to a surface._ A cosmetic; rouge.
Painted_a._ Covered or adorned with paint; portrayed in colors._ Marked with bright colors; as, the painted turtle; painted bunting.
Painter_n._ A rope at the bow of a boat, used to fasten it to anything._ The panther, or puma._ One whose occupation is to paint_ One who covers buildings, ships, ironwork, and the like, with paint._ An artist who represents objects or scenes in color on a flat surface, as canvas, plaster, or the like.
Painterly_a._ Like a painter's work.
Paintership_n._ The state or position of being a painter.
Painting_n._ The act or employment of laying on, or adorning with, paints or colors._ The work of the painter; also, any work of art in which objects are represented in color on a flat surface; a colored representation of any object or scene; a picture._ Color laid on; paint._ A depicting by words; vivid representation in words.
Paintless_a._ Not capable of being painted or described.
Painture_v. t._ The art of painting.
Painty_a._ Unskillfully painted, so that the painter's method of work is too obvious; also, having too much pigment applied to the surface.
Pair_n._" A number of things resembling one another, or belonging together; a set; as, a pair or flight of stairs. ""A pair of beads.""  Chaucer. Beau. & Fl. ""Four pair of stairs."" Macaulay. [Now mostly or quite disused, except as to stairs.]"_ Two things of a kind, similar in form, suited to each other, and intended to be used together; as, a pair of gloves or stockings; a pair of shoes._ Two of a sort; a span; a yoke; a couple; a brace; as, a pair of horses; a pair of oxen._ A married couple; a man and wife._ A single thing, composed of two pieces fitted to each other and used together; as, a pair of scissors; a pair of tongs; a pair of bellows._ Two members of opposite parties or opinion, as in a parliamentary body, who mutually agree not to vote on a given question, or on issues of a party nature during a specified time; as, there were two pairs on the final vote._ In a mechanism, two elements, or bodies, which are so applied to each other as to mutually constrain relative motion.
Pairs Royal_pl. _ of Pair
Paired_imp. & p. p._ of Pair
Pairing_p. pr. & vb. n._ of Pair
Pair_v. i._ To be joined in paris; to couple; to mate, as for breeding._ To suit; to fit, as a counterpart._ Same as To pair off. See phrase below.
Pair_v. t._ To unite in couples; to form a pair of; to bring together, as things which belong together, or which complement, or are adapted to one another._ To engage (one's self) with another of opposite opinions not to vote on a particular question or class of questions._ To impair.
Pairer_n._ One who impairs.
Pairing_v. i._ The act or process of uniting or arranging in pairs or couples._ See To pair off, under Pair, v. i.
Pairment_n._ Impairment.
Pais_n._ The country; the people of the neighborhood.
Paisano_n._ The chaparral cock.
Paise_n._ See Poise.
Pajock_n._ A peacock.
Pakfong_n._ See Packfong.
Pal_n._ A mate; a partner; esp., an accomplice or confederate.
Palace_n._ The residence of a sovereign, including the lodgings of high officers of state, and rooms for business, as well as halls for ceremony and reception._ The official residence of a bishop or other distinguished personage._ Loosely, any unusually magnificent or stately house.
Palacious_a._ Palatial.
Paladin_n._ A knight-errant; a distinguished champion; as, the paladins of Charlemagne.
Palaeo-__ See Paleo-.
Palaeographer_a._ Alt. of Palaeographic
Palaeographic_a._ See Paleographer, Paleographic, etc.
Palaeotype_n._ A system of representing all spoken sounds by means of the printing types in common use.
Palaestra_n._ See Palestra.
Palaestric_a._ See Palestric.
Palaetiologist_n._ One versed in palaetiology.
Palaetiology_n._ The science which explains, by the law of causation, the past condition and changes of the earth.
Palamme_pl. _ of Palama
Palama_n._ A membrane extending between the toes of a bird, and uniting them more or less closely together.
Palamedeae_n. pl._ An order, or suborder, including the kamichi, and allied South American birds; -- called also screamers. In many anatomical characters they are allied to the Anseres, but they externally resemble the wading birds.
Palampore_n._ See Palempore.
Palanka_n._ A camp permanently intrenched, attached to Turkish frontier fortresses.
Palanquin_n._ An inclosed carriage or litter, commonly about eight feet long, four feet wide, and four feet high, borne on the shoulders of men by means of two projecting poles, -- used in India, China, etc., for the conveyance of a single person from place to place.
Palapteryx_n._ A large extinct ostrichlike bird of New Zealand.
Palatability_n._ Palatableness.
Palatable_a._ Agreeable to the palate or taste; savory; hence, acceptable; pleasing; as, palatable food; palatable advice.
Palatableness_n._ The quality or state of being agreeable to the taste; relish; acceptableness.
Palatably_adv._ In a palatable manner.
Palatal_a._ Of or pertaining to the palate; palatine; as, the palatal bones._ Uttered by the aid of the palate; -- said of certain sounds, as the sound of k in kirk.
Palatal_n._ A sound uttered, or a letter pronounced, by the aid of the palate, as the letters k and y.
Palatalize_v. t._ To palatize.
Palate_n._ The roof of the mouth._ Relish; taste; liking; -- a sense originating in the mistaken notion that the palate is the organ of taste._ Fig.: Mental relish; intellectual taste._ A projection in the throat of such flowers as the snapdragon.
Palate_v. t._ To perceive by the taste.
Palatial_a._ Of or pertaining to a palace; suitable for a palace; resembling a palace; royal; magnificent; as, palatial structures._ Palatal; palatine.
Palatial_n._ A palatal letter.
Palatic_a._ Palatal; palatine.
Palatic_n._ A palatal.
Palatinate_n._ The province or seigniory of a palatine; the dignity of a palatine.
Palatinate_v. t._ To make a palatinate of.
Palatine_a._ Of or pertaining to a palace, or to a high officer of a palace; hence, possessing royal privileges.
Palatine_n._ One invested with royal privileges and rights within his domains; a count palatine. See Count palatine, under 4th Count._ The Palatine hill in Rome.
Palatine_a._ Of or pertaining to the palate.
Palatine_n._ A palatine bone.
Palative_a._ Pleasing to the taste; palatable.
Palatize_v. t._ To modify, as the tones of the voice, by means of the palate; as, to palatize a letter or sound.
Palato-__ A combining form used in anatomy to indicate relation to, or connection with, the palate; as in palatolingual.
Palatonares_n. pl._ The posterior nares. See Nares.
Palatopterygoid_a._ Pertaining to the palatine and pterygoid region of the skull; as, the palatopterygoid cartilage, or rod, from which the palatine and pterygoid bones are developed.
Palaver_n._ Talk; conversation; esp., idle or beguiling talk; talk intended to deceive; flattery._ In Africa, a parley with the natives; a talk; hence, a public conference and deliberation; a debate.
Palavered_imp. & p. p._ of Palaver
Palavering_p. pr. & vb. n._ of Palaver
Palaver_v. t. & i._ To make palaver with, or to; to used palaver;to talk idly or deceitfully; to employ flattery; to cajole; as, to palaver artfully.
Palaverer_n._ One who palavers; a flatterer.
Pale_v. i._ Wanting in color; not ruddy; dusky white; pallid; wan; as, a pale face; a pale red; a pale blue._ Not bright or brilliant; of a faint luster or hue; dim; as, the pale light of the moon.
Pale_n._ Paleness; pallor.
Paled_imp. & p. p._ of Pale
Paling_p. pr. & vb. n._ of Pale
Pale_v. i._ To turn pale; to lose color or luster.
Pale_v. t._ To make pale; to diminish the brightness of.
Pale_n._ A pointed stake or slat, either driven into the ground, or fastened to a rail at the top and bottom, for fencing or inclosing; a picket._ That which incloses or fences in; a boundary; a limit; a fence; a palisade._ A space or field having bounds or limits; a limited region or place; an inclosure; -- often used figuratively._ A stripe or band, as on a garment._ One of the greater ordinaries, being a broad perpendicular stripe in an escutcheon, equally distant from the two edges, and occupying one third of it._ A cheese scoop._ A shore for bracing a timber before it is fastened.
Pale_v. t._ To inclose with pales, or as with pales; to encircle; to encompass; to fence off.
Paleae_pl. _ of Palea
Palea_n._ The interior chaff or husk of grasses._ One of the chaffy scales or bractlets growing on the receptacle of many compound flowers, as the Coreopsis, the sunflower, etc._ A pendulous process of the skin on the throat of a bird, as in the turkey; a dewlap.
Paleaceous_a._ Chaffy; resembling or consisting of paleae, or chaff; furnished with chaff; as, a paleaceous receptacle.
Palearctic_a._ Belonging to a region of the earth's surface which includes all Europe to the Azores, Iceland, and all temperate Asia.
Paled_a._ Striped._ Inclosed with a paling.
Paleechinoidea_n. pl._ An extinct order of sea urchins found in the Paleozoic rocks. They had more than twenty vertical rows of plates. Called also Palaeechini.
Paleface_n._ A white person; -- an appellation supposed to have been applied to the whites by the American Indians.
Paleichthyes_n. pl._ A comprehensive division of fishes which includes the elasmobranchs and ganoids.
Palely_a._ In a pale manner; dimly; wanly; not freshly or ruddily.
Palempore_n._ A superior kind of dimity made in India, -- used for bed coverings.
Paleness_n._ The quality or condition of being pale; want of freshness or ruddiness; a sickly whiteness; lack of color or luster; wanness.
Palenque_n. pl._ A collective name for the Indians of Nicaragua and Honduras.
Paleo-__ A combining form meaning old, ancient; as, palearctic, paleontology, paleothere, paleography.
Paleobotanist_n._ One versed in paleobotany.
Paleobotany_n._ That branch of paleontology which treats of fossil plants.
Paleocarida_n. pl._ Same as Merostomata.
Paleocrinoidea_n. pl._ A suborder of Crinoidea found chiefly in the Paleozoic rocks.
Paleocrystic_a._ Of, pertaining to, or derived from, a former glacial formation.
Paleogaean_a._ Of or pertaining to the Eastern hemisphere.
Paleograph_n._ An ancient manuscript.
Paleographer_n._ One skilled in paleography; a paleographist.
Paleographic_a._ Alt. of Paleographical
Paleographical_a._ Of or pertaining to paleography.
Paleographist_n._ One versed in paleography; a paleographer.
Paleography_n._ An ancient manner of writing; ancient writings, collectively; as, Punic paleography._ The study of ancient inscriptions and modes of writing; the art or science of deciphering ancient writings, and determining their origin, period, etc., from external characters; diplomatics.
Paleolae_pl. _ of Paleola
Paleola_n._ A diminutive or secondary palea; a lodicule.
Paleolith_n._ A relic of the Paleolithic era.
Paleolithic_a._" Of or pertaining to an era marked by early stone implements. The Paleolithic era (as proposed by Lubbock) includes the earlier half of the ""Stone Age;"" the remains belonging to it are for the most part of extinct animals, with relics of human beings."
Paleologist_n._ One versed in paleology; a student of antiquity.
Paleology_n._ The study or knowledge of antiquities, esp. of prehistoric antiquities; a discourse or treatise on antiquities; archaeology .
Paleontographical_a._ Of or pertaining to the description of fossil remains.
Paleontography_n._ The description of fossil remains.
Paleontological_a._ Of or pertaining to paleontology.
Paleontologist_n._ One versed in paleontology.
Paleontology_n._ The science which treats of the ancient life of the earth, or of fossils which are the remains of such life.
Paleophytologist_n._ A paleobotanist.
Paleophytology_n._ Paleobotany.
Paleornithology_n._ The branch of paleontology which treats of fossil birds.
Paleosaurus_n._ A genus of fossil saurians found in the Permian formation.
Paleotechnic_a._ Belonging to, or connected with, ancient art.
Paleothere_n._ Any species of Paleotherium.
Paleotherian_a._ Of or pertaining to Paleotherium.
