Gab_n._ The hook on the end of an eccentric rod opposite the strap. See. Illust. of Eccentric.
Gailer_n._ A jailer.
Gaillard_a._ Gay; brisk; merry; galliard.
Gailliarde_n._ A lively French and Italian dance.
Gaily_adv._ Merrily; showily. See gaily.
Gain_n._ A square or beveled notch cut out of a girder, binding joist, or other timber which supports a floor beam, so as to receive the end of the floor beam.
Gain_a._ Convenient; suitable; direct; near; handy; dexterous; easy; profitable; cheap; respectable.
Gain_v. t._ That which is gained, obtained, or acquired, as increase, profit, advantage, or benefit; -- opposed to loss._ The obtaining or amassing of profit or valuable possessions; acquisition; accumulation.
Gained_imp. & p. p._ of Gain
Gaining_p. pr. & vb. n._ of Gain
Gain_n._ To get, as profit or advantage; to obtain or acquire by effort or labor; as, to gain a good living._ To come off winner or victor in; to be successful in; to obtain by competition; as, to gain a battle; to gain a case at law; to gain a prize._ To draw into any interest or party; to win to one's side; to conciliate._ To reach; to attain to; to arrive at; as, to gain the top of a mountain; to gain a good harbor._ To get, incur, or receive, as loss, harm, or damage.
Gain_v. i._ To have or receive advantage or profit; to acquire gain; to grow rich; to advance in interest, health, or happiness; to make progress; as, the sick man gains daily.
Gainable_v. t._ Capable of being obtained or reached.
Gainage_v. t._ The horses, oxen, plows, wains or wagons and implements for carrying on tillage._ The profit made by tillage; also, the land itself.
Gainer_n._ One who gains.
Gainful_a._ Profitable; advantageous; lucrative.
Gaingiving_n._ A misgiving.
Gainless_a._ Not producing gain; unprofitable.
Gainly_a._ Handily; readily; dexterously; advantageously.
Gainpain_n._ Bread-gainer; -- a term applied in the Middle Ages to the sword of a hired soldier.
Gainsaid_imp. & p. p._ of Gainsay
Gainsaying_p. pr. & vb. n._ of Gainsay
Gainsay_v. t._ To contradict; to deny; to controvert; to dispute; to forbid.
Gainsayer_n._ One who gainsays, contradicts, or denies.
Gainsome_a._ Gainful._ Prepossessing; well-favored.
'Gainst_prep._ A contraction of Against.
Gainstood_imp. & p. p._ of Gainstand
gainstanding_p. pr. & vb. n._ of Gainstand
Gainstand_v. t._ To withstand; to resist.
Gainstrive_v. t. & i._ To strive or struggle against; to withstand.
Gairfowl_n._ See Garefowl.
Gairish_n._ Alt. of Gairish/ness
Gairishly_n._ Alt. of Gairish/ness
Gairish/ness_n._ Same as Garish, Garishly, Garishness.
Gait_n._ A going; a walk; a march; a way._ Manner of walking or stepping; bearing or carriage while moving.
Gaited_a._ Having (such) a gait; -- used in composition; as, slow-gaited; heavy-gaited.
Gaiter_n._ A covering of cloth or leather for the ankle and instep, or for the whole leg from the knee to the instep, fitting down upon the shoe._ A kind of shoe, consisting of cloth, and covering the ankle.
Gaiter_v. t._ To dress with gaiters.
Gaitre_n._ Alt. of Gaytre
Gaytre_n._ The dogwood tree.
Gala_n._ Pomp, show, or festivity.
Galacta-gogue_n._ An agent exciting secretion of milk.
Galactic_a._ Of or pertaining to milk; got from milk; as, galactic acid._ Of or pertaining to the galaxy or Milky Way.
Galactin_n._ An amorphous, gelatinous substance containing nitrogen, found in milk and other animal fluids. It resembles peptone, and is variously regarded as a coagulating or emulsifying agent._ A white waxy substance found in the sap of the South American cow tree (Galactodendron)._ An amorphous, gummy carbohydrate resembling gelose, found in the seeds of leguminous plants, and yielding on decomposition several sugars, including galactose.
Galactodensimeter_n._ Same as Galactometer.
Galactometer_n._ An instrument for ascertaining the quality of milk (i.e., its richness in cream) by determining its specific gravity; a lactometer.
Galactophagist_n._ One who eats, or subsists on, milk.
Galactophagous_a._ Feeding on milk.
Galactophorous_a._ Milk-carrying; lactiferous; -- applied to the ducts of mammary glands.
Galactopoietic_a._ Increasing the flow of milk; milk-producing. -- n. A galactopoietic substance.
Galactose_n._ A white, crystalline sugar, C6H12O6, isomeric with dextrose, obtained by the decomposition of milk sugar, and also from certain gums. When oxidized it forms mucic acid. Called also lactose (though it is not lactose proper).
Galage_n._ See Galoche.
Galagos_pl. _ of Galago
Galago_n._ A genus of African lemurs, including numerous species.
Galanga_n._ Alt. of Galangal
Galangal_n._ The pungent aromatic rhizome or tuber of certain East Indian or Chinese species of Alpinia (A. Galanga and A. officinarum) and of the Kaempferia Galanga), -- all of the Ginger family.
Galantine_n._ A dish of veal, chickens, or other white meat, freed from bones, tied up, boiled, and served cold.
Galapee tree__ The West Indian Sciadophyllum Brownei, a tree with very large digitate leaves.
Galatian_a._ Of or pertaining to Galatia or its inhabitants. -- A native or inhabitant of Galatia, in Asia Minor; a descendant of the Gauls who settled in Asia Minor.
Galaxies_pl. _ of Galaxy
Galaxy_n._ The Milky Way; that luminous tract, or belt, which is seen at night stretching across the heavens, and which is composed of innumerable stars, so distant and blended as to be distinguishable only with the telescope. The term has recently been used for remote clusters of stars._ A splendid assemblage of persons or things.
Galban_n._ Alt. of Galbanum
Galbanum_n._ A gum resin exuding from the stems of certain Asiatic umbelliferous plants, mostly species of Ferula. The Bubon Galbanum of South Africa furnishes an inferior kind of galbanum. It has an acrid, bitter taste, a strong, unpleasant smell, and is used for medical purposes, also in the arts, as in the manufacture of varnish.
Gale_n._ A strong current of air; a wind between a stiff breeze and a hurricane. The most violent gales are called tempests._ A moderate current of air; a breeze._ A state of excitement, passion, or hilarity.
Gale_v. i._ To sale, or sail fast.
Gale_n._ A song or story.
Gale_v. i._ To sing.
Gale_n._ A plant of the genus Myrica, growing in wet places, and strongly resembling the bayberry. The sweet gale (Myrica Gale) is found both in Europe and in America._ The payment of a rent or annuity.
Galea_n._ The upper lip or helmet-shaped part of a labiate flower._ A kind of bandage for the head._ Headache extending all over the head._ A genus of fossil echini, having a vaulted, helmet-shaped shell._ The anterior, outer process of the second joint of the maxillae in certain insects.
Galeas_n._ See Galleass.
Galeate_a._ Alt. of Galeated
Galeated_a._ Wearing a helmet; protected by a helmet; covered, as with a helmet._ Helmeted; having a helmetlike part, as a crest, a flower, etc.; helmet-shaped.
Galei_n. pl._ That division of elasmobranch fishes which includes the sharks.
Galena_n._ A remedy or antidose for poison; theriaca._ Lead sulphide; the principal ore of lead. It is of a bluish gray color and metallic luster, and is cubic in crystallization and cleavage.
Galenic_a._ Alt. of Galenical
Galenical_a._ Pertaining to, or containing, galena.
Galenic_an._ Alt. of Galenical
Galenical_an._ Relating to Galen or to his principles and method of treating diseases.
Galenism_n._ The doctrines of Galen.
Galenist_n._ A follower of Galen.
Galenite_n._ Galena; lead ore.
Gale-opithecus_n._ A genus of flying Insectivora, formerly called flying lemurs. See Colugo.
Galericu-late_a._ Covered as with a hat or cap.
Galerite_n._ A cretaceous fossil sea urchin of the genus Galerites.
Galician_a._ Of or pertaining to Galicia, in Spain, or to Galicia, the kingdom of Austrian Poland.
Galician_n._ A native of Galicia in Spain; -- called also Gallegan.
Galilean_a._ Of or pertaining to Galileo; as, the Galilean telescope. See Telescope._ Of or relating to Galilee.
Galilean_n._ A native or inhabitant of Galilee, the northern province of Palestine under the Romans._ One of the party among the Jews, who opposed the payment of tribute to the Romans; -- called also Gaulonite._ A Christian in general; -- used as a term of reproach by Mohammedans and Pagans.
Galilee_n._ A porch or waiting room, usually at the west end of an abbey church, where the monks collected on returning from processions, where bodies were laid previous to interment, and where women were allowed to see the monks to whom they were related, or to hear divine service. Also, frequently applied to the porch of a church, as at Ely and Durham cathedrals.
Galimatias_n._ Nonsense; gibberish; confused and unmeaning talk; confused mixture.
Galingale_n._ A plant of the Sedge family (Cyperus longus) having aromatic roots; also, any plant of the same genus.
Galiot_n._ A small galley, formerly used in the Mediterranean, built mainly for speed. It was moved both by sails and oars, having one mast, and sixteen or twenty seats for rowers._ A strong, light-draft, Dutch merchant vessel, carrying a mainmast and a mizzenmast, and a large gaff mainsail.
Galipot_n._ An impure resin of turpentine, hardened on the outside of pine trees by the spontaneous evaporation of its essential oil. When purified, it is called yellow pitch, white pitch, or Burgundy pitch.
Gall_n._ The bitter, alkaline, viscid fluid found in the gall bladder, beneath the liver. It consists of the secretion of the liver, or bile, mixed with that of the mucous membrane of the gall bladder._ The gall bladder._ Anything extremely bitter; bitterness; rancor._ Impudence; brazen assurance._ An excrescence of any form produced on any part of a plant by insects or their larvae. They are most commonly caused by small Hymenoptera and Diptera which puncture the bark and lay their eggs in the wounds. The larvae live within the galls. Some galls are due to aphids, mites, etc. See Gallnut.
Gall_v. t._ To impregnate with a decoction of gallnuts.
Galled_imp. & p. p._ of Gall
Galling_p. pr. & vb. n._ of Gall
Gall_v. t._ To fret and wear away by friction; to hurt or break the skin of by rubbing; to chafe; to injure the surface of by attrition; as, a saddle galls the back of a horse; to gall a mast or a cable._ To fret; to vex; as, to be galled by sarcasm._ To injure; to harass; to annoy; as, the troops were galled by the shot of the enemy.
Gall_v. i._ To scoff; to jeer.
Gall_n._ A wound in the skin made by rubbing.
Gallant_a._ Showy; splendid; magnificent; gay; well-dressed._ Noble in bearing or spirit; brave; high-spirited; courageous; heroic; magnanimous; as, a gallant youth; a gallant officer._ Polite and attentive to ladies; courteous to women; chivalrous.
Gallant_n._ A man of mettle or spirit; a gay; fashionable man; a young blood._ One fond of paying attention to ladies._ One who wooes; a lover; a suitor; in a bad sense, a seducer.
Gallanted_imp. & p. p._ of Gallant
Gallanting_p. pr. & vb. n._ of Gallant
Gallant_v. t._ To attend or wait on, as a lady; as, to gallant ladies to the play._ To handle with grace or in a modish manner; as, to gallant a fan.
Gallantly_adv._ In a polite or courtly manner; like a gallant or wooer._ In a gallant manner.
Gallantness_n._ The quality of being gallant.
Gallantries_pl. _ of Gallantry
Gallantry_n._ Splendor of appearance; ostentatious finery._ Bravery; intrepidity; as, the troops behaved with great gallantry._ Civility or polite attention to ladies; in a bad sense, attention or courtesy designed to win criminal favors from a female; freedom of principle or practice with respect to female virtue; intrigue._ Gallant persons, collectively.
Gallate_n._ A salt of gallic acid.
Gallature_n._ The tread, treadle, or chalasa of an egg.
Galleass_n._ A large galley, having some features of the galleon, as broadside guns; esp., such a vessel used by the southern nations of Europe in the 16th and 17th centuries. See Galleon, and Galley.
Gallegan_n._ Alt. of Gallego
Gallego_n._ A native or inhabitant of Galicia, in Spain; a Galician.
Gallein_n._ A red crystalline dyestuff, obtained by heating together pyrogallic and phthalic acids.
Galleon_n._ A sailing vessel of the 15th and following centuries, often having three or four decks, and used for war or commerce. The term is often rather indiscriminately applied to any large sailing vessel.
Galleot_n._ See Galiot.
Galleries_pl. _ of Gallery
Gallery_a._ A long and narrow corridor, or place for walking; a connecting passageway, as between one room and another; also, a long hole or passage excavated by a boring or burrowing animal._ A room for the exhibition of works of art; as, a picture gallery; hence, also, a large or important collection of paintings, sculptures, etc._ A long and narrow platform attached to one or more sides of public hall or the interior of a church, and supported by brackets or columns; -- sometimes intended to be occupied by musicians or spectators, sometimes designed merely to increase the capacity of the hall._ A frame, like a balcony, projecting from the stern or quarter of a ship, and hence called stern gallery or quarter gallery, -- seldom found in vessels built since 1850._ Any communication which is covered overhead as well as at the sides. When prepared for defense, it is a defensive gallery._ A working drift or level.
Galletyle_n._ A little tile of glazed earthenware.
Galleys_pl. _ of Galley
Galley_n._ A vessel propelled by oars, whether having masts and sails or not_ A large vessel for war and national purposes; -- common in the Middle Ages, and down to the 17th century._ A name given by analogy to the Greek, Roman, and other ancient vessels propelled by oars._ A light, open boat used on the Thames by customhouse officers, press gangs, and also for pleasure._ One of the small boats carried by a man-of-war._ The cookroom or kitchen and cooking apparatus of a vessel; -- sometimes on merchant vessels called the caboose._ An oblong oven or muffle with a battery of retorts; a gallery furnace._ An oblong tray of wood or brass, with upright sides, for holding type which has been set, or is to be made up, etc._ A proof sheet taken from type while on a galley; a galley proof.
Galley-bird_n._ The European green woodpecker; also, the spotted woodpecker.
Galley-worm_n._" A chilognath myriapod of the genus Iulus, and allied genera, having numerous short legs along the sides; a milliped or ""thousand legs.""  See Chilognatha."
Gallflies_pl. _ of Gallfly
Gallfly_n._ An insect that deposits its eggs in plants, and occasions galls, esp. any small hymenopteran of the genus Cynips and allied genera. See Illust. of Gall.
Gallyambic_a._ Consisting of two iambic dimeters catalectic, the last of which lacks the final syllable; -- said of a kind of verse.
Gallian_a._ Gallic; French.
Galliard_a._ Gay; brisk; active.
Galliard_n._ A brisk, gay man.
Galliard_a._ A gay, lively dance.  Cf. Gailliarde.
Galliardise_a._ Excessive gayety; merriment.
Galliardness_n._ Gayety.
Galliass_n._ Same as Galleass.
Gallic_a._ Pertaining to, or containing, gallium._ Pertaining to, or derived from, galls, nutgalls, and the like._ Pertaining to Gaul or France; Gallican.
Gallican_a._ Of or pertaining to Gaul or France; Gallic; French; as, the Gallican church or clergy.
Gallican_n._ An adherent to, and supporter of, Gallicanism.
Gallicanism_n._ The principles, tendencies, or action of those, within the Roman Catholic Church in France, who (esp. in 1682) sought to restrict the papal authority in that country and increase the power of the national church.
Gallicism_n._ A mode of speech peculiar to the French; a French idiom; also, in general, a French mode or custom.
Gallicized_imp. & p. p._ of Gallicize
Gallicizing_p. pr. & vb. n._ of Gallicize
Gallicize_v. t._ To conform to the French mode or idiom.
Gallied_p. p. & a._ Worried; flurried; frightened.
Galliform_a._ Like the Gallinae (or Galliformes) in structure.
Galligaskins_n. pl._ Loose hose or breeches; leather leg quards. The word is used loosely and often in a jocose sense.
Gallimatia_n._ Senseless talk. [Obs. or R.] See Galimatias.
Gallimaufries_pl. _ of Gallimaufry
Gallimaufry_n._ A hash of various kinds of meats, a ragout._ Any absurd medley; a hotchpotch.
Gallin_n._ A substance obtained by the reduction of gallein.
Gallinaceae_n. pl._ Same as Gallinae.
Gallinacean_n._ One of the Gallinae or gallinaceous birds.
Gallinaceous_a._ Resembling the domestic fowls and pheasants; of or pertaining to the Gallinae.
Gallinae_n._ An order of birds, including the common domestic fowls, pheasants, grouse, quails, and allied forms; -- sometimes called Rasores.
Galling_a._ Fitted to gall or chafe; vexing; harassing; irritating.
Gallinipper_n._ A large mosquito.
Gallinule_n._ One of several wading birds, having long, webless toes, and a frontal shield, belonging to the family Rallidae. They are remarkable for running rapidly over marshes and on floating plants. The purple gallinule of America is Ionornis Martinica, that of the Old World is Porphyrio porphyrio. The common European gallinule (Gallinula chloropus) is also called moor hen, water hen, water rail, moor coot, night bird, and erroneously dabchick. Closely related to it is the Florida gallinule (Gallinula galeata).
Galliot_n._ See Galiot.
Gallipoli oil__ An inferior kind of olive oil, brought from Gallipoli, in Italy.
Gallipot_n._ A glazed earthen pot or vessel, used by druggists and apothecaries for containing medicines, etc.
Gallium_n._ A rare metallic element, found in certain zinc ores. It is white, hard, and malleable, resembling aluminium, and remarcable for its low melting point (86/ F., 30/C). Symbol Ga. Atomic weight 69.9.
Gallivant_v. i._ To play the beau; to wait upon the ladies; also, to roam about for pleasure without any definite plan.
Gallivat_n._ A small armed vessel, with sails and oars, -- used on the Malabar coast.
Galliwasp_n._ A West Indian lizard (Celestus occiduus), about a foot long, imagined by the natives to be venomous.
Gallnut_n._ A round gall produced on the leaves and shoots of various species of the oak tree. See Gall, and Nutgall.
Gallomania_n._ An excessive admiration of what is French.
Gallon_n._ A measure of capacity, containing four quarts; -- used, for the most part, in liquid measure, but sometimes in dry measure.
Galloon_n._ A narrow tapelike fabric used for binding hats, shoes, etc., -- sometimes made ornamental._ A similar bordering or binding of rich material, such as gold lace.
Gallooned_a._ Furnished or adorned with galloon.
Galloped_imp. & p. p._ of Gallop
Galloping_p. pr. & vb. n._ of Gallop
Gallop_v. i._ To move or run in the mode called a gallop; as a horse; to go at a gallop; to run or move with speed._ To ride a horse at a gallop._ Fig.: To go rapidly or carelessly, as in making a hasty examination.
Gallop_v. t._ To cause to gallop.
Gallop_v. i._ A mode of running by a quadruped, particularly by a horse, by lifting alternately the fore feet and the hind feet, in successive leaps or bounds.
Gallopade_n._ I horsemanship, a sidelong or curveting kind of gallop._ A kind of dance; also, music to the dance; a galop.
Gallopaded_imp. & p. p._ of Gallopade
Gallopading_p. pr. & vb. n._ of Gallopade
Gallopade_v. i._ To gallop, as on horseback._ To perform the dance called gallopade.
Galloper_n._ One who, or that which, gallops._ A carriage on which very small guns were formerly mounted, the gun resting on the shafts, without a limber.
Gallopin_v. i._ An under servant for the kitchen; a scullion; a cook's errand boy.
Galloping_a._ Going at a gallop; progressing rapidly; as, a galloping horse.
Gallotannic_a._ Pertaining to the tannin or nutgalls.
Gallow_v. t._ To fright or terrify. See Gally, v. t.
Galloway_n._ A small horse of a breed raised at Galloway, Scotland; -- called also garran, and garron.
Gallowglass_n._ A heavy-armed foot soldier from Ireland and the Western Isles in the time of Edward /
Gallowses_pl. _ of Gallows
Gallows_pl. _ of Gallows
Gallows_n. sing._ A frame from which is suspended the rope with which criminals are executed by hanging, usually consisting of two upright posts and a crossbeam on the top; also, a like frame for suspending anything._ A wretch who deserves the gallows._ The rest for the tympan when raised._ A pair of suspenders or braces.
Gallstone_n._ A concretion, or calculus, formed in the gall bladder or biliary passages. See Calculus, n., 1.
Gally_v. t._ To frighten; to worry.
Gally_a._ Like gall; bitter as gall.
Gally_n._ See Galley, n., 4.
Gallygaskins_n. pl._ See Galligaskins.
Galoche__ Alt. of Galoshe
Galoshe__ A clog or patten._ Hence: An overshoe worn in wet weather._ A gaiter, or legging, covering the upper part of the shoe and part of the leg.
Galoot_n._ A noisy, swaggering, or worthless fellow; a rowdy.
Galop_n._ A kind of lively dance, in 2-4 time; also, the music to the dance.
Galore_n. & a._ Plenty; abundance; in abundance.
Galoshe_n._ Same as Galoche.
Galpe_v. i._ To gape,; to yawn.
Galsome_a._ Angry; malignant.
Galt_n._ Same as Gault.
Galvanic_a._ Of or pertaining to, or exhibiting the phenomena of, galvanism; employing or producing electrical currents.
Galvanism_n._ Electricity excited by the mutual action of certain liquids and metals; dynamical electricity._ The branch of physical science which treats of dynamical elecricity, or the properties and effects of electrical currents.
Galvanist_n._ One versed in galvanism.
Galvanization_n._ The act of process of galvanizing.
Galvanized_imp. & p. p._ of Galvanize
Galvanizing_p pr. & vb. n._ of Galvanize
Galvanize_v. t._ To affect with galvanism; to subject to the action of electrical currents._ To plate, as with gold, silver, etc., by means of electricity._ To restore to consciousness by galvanic action (as from a state of suspended animation); hence, to stimulate or excite to a factitious animation or activity._ To coat, as iron, with zinc. See Galvanized iron.
Galvanizer_n._ One who, or that which, galvanize.
Galvanocaustic_a._ Relating to the use of galvanic heat as a caustic, especially in medicine.
Galvanocautery_n._ Cautery effected by a knife or needle heated by the passage of a galvanic current.
Galvanoglyphy_n._ Same as Glyphography.
Galvanograph_n._ A copperplate produced by the method of galvanography; also, a picture printed from such a plate.
Galvanographic_a._ Of or pertaining to galvanography.
Galvanography_n._ The art or process of depositing metals by electricity; electrotypy._ A method of producing by means of electrotyping process (without etching) copperplates which can be printed from in the same manner as engraved plates.
Galvanologist_n._ One who describes the phenomena of galvanism; a writer on galvanism.
Galvanology_n._ A treatise on galvanism, or a description of its phenomena.
Galvanometer_n._ An instrument or apparatus for measuring the intensity of an electric current, usually by the deflection of a magnetic needle.
Galvanometric_a._ Of, pertaining to, or measured by, a galvanometer.
Galvanometry_n._ The art or process of measuring the force of electric currents.
Galvanoplastic_a._ Of or pertaining to the art or process of electrotyping; employing, or produced by, the process of electolytic deposition; as, a galvano-plastic copy of a medal or the like.
Galvanoplasty_n._ The art or process of electrotypy.
Galvanopuncture_n._ Same as Electro-puncture.
Galvanoscope_n._ An instrument or apparatus for detecting the presence of electrical currents, especially such as are of feeble intensity.
Galvanoscopic_a._ Of or pertaining to a galvanoscope.
Galvanoscopy_n._ The use of galvanism in physiological experiments.
Galvanotonus_n._ Same as Electrotonus.
Galvanotropism_n._ The tendency of a root to place its axis in the line of a galvanic current.
Galwes_n._ Gallows.
Gama grass__ A species of grass (Tripsacum dactyloides) tall, stout, and exceedingly productive; cultivated in the West Indies, Mexico, and the Southern States of North America as a forage grass; -- called also sesame grass.
Gamashes_n. pl._ High boots or buskins; in Scotland, short spatterdashes or riding trousers, worn over the other clothing.
Gamba_n._ A viola da gamba.
Gambadoes_n._ Same as Gamashes.
Gambeson_n._ Same as Gambison.
Gambet_n._ Any bird of the genuis Totanus. See Tattler.
Gambier_n._ The inspissated juice of a plant (Uncaria Gambir) growing in Malacca. It is a powerful astringent, and, under the name of Terra Japonica, is used for chewing with the Areca nut, and is exported for tanning and dyeing._ Catechu.
Gambison_n._ A defensive garment formerly in use for the body, made of cloth stuffed and quilted.
Gambist_n._ A performer upon the viola di gamba. See under Viola.
Gambit_n._ A mode of opening the game, in which a pawn is sacrificed to gain an attacking position.
Gambled_imp. & p. p._ of Gamble
Gambling_p. pr. & vb. n._ of Gamble
Gamble_v. i._ To play or game for money or other stake.
