La_n._ A syllable applied to the sixth tone of the scale in music in solmization.
Labor-saving_a._ Saving labor; adapted to supersede or diminish the labor of men; as, labor-saving machinery.
Laborsome_a._ Made with, or requiring, great labor, pains, or diligence._ Likely or inclined to roll or pitch, as a ship in a heavy sea; having a tendency to labor.
Labrador_n._ A region of British America on the Atlantic coast, north of Newfoundland.
Labradorite_n._ A kind of feldspar commonly showing a beautiful play of colors, and hence much used for ornamental purposes. The finest specimens come from Labrador. See Feldspar.
Labras_n. pl._ Lips.
Labroid_a._ Like the genus Labrus; belonging to the family Labridae, an extensive family of marine fishes, often brilliantly colored, which are very abundant in the Indian and Pacific Oceans. The tautog and cunner are American examples.
Labrose_a._ Having thick lips.
Labra_pl. _ of Labrum
Labrums_pl. _ of Labrum
Labrum_n._ A lip or edge, as of a basin._ An organ in insects and crustaceans covering the upper part of the mouth, and serving as an upper lip. See Illust. of Hymenoptera._ The external margin of the aperture of a shell. See Univalve.
Labri_pl. _ of Labrus
Labrus_n._ A genus of marine fishes, including the wrasses of Europe. See Wrasse.
Laburnic_a._ Of, pertaining to, or derived from, the laburnum.
Laburnine_n._ A poisonous alkaloid found in the unripe seeds of the laburnum.
Laburnum_n._ A small leguminous tree (Cytisus Laburnum), native of the Alps. The plant is reputed to be poisonous, esp. the bark and seeds. It has handsome racemes of yellow blossoms.
Labyrinth_n._ An edifice or place full of intricate passageways which render it difficult to find the way from the interior to the entrance; as, the Egyptian and Cretan labyrinths._ Any intricate or involved inclosure; especially, an ornamental maze or inclosure in a park or garden._ Any object or arrangement of an intricate or involved form, or having a very complicated nature._ An inextricable or bewildering difficulty._ The internal ear. See Note under Ear._ A series of canals through which a stream of water is directed for suspending, carrying off, and depositing at different distances, the ground ore of a metal._ A pattern or design representing a maze, -- often inlaid in the tiled floor of a church, etc.
Labyrinthal_a._ Pertaining to, or resembling, a labyrinth; intricate; labyrinthian.
Labyrinthian_a._ Intricately winding; like a labyrinth; perplexed; labyrinthal.
Labyrinthibranch_a._ Of or pertaining to the Labyrinthici.
Labyrinthibranch_n._ One of the Labyrinthici.
Labyrinthic_a._ Alt. of Labyrinthical
Labyrinthical_a._ Like or pertaining to a labyrinth.
Labyrinthici_n. pl._ An order of teleostean fishes, including the Anabas, or climbing perch, and other allied fishes.
Labyrinthiform_a._ Having the form of a labyrinth; intricate.
Labyrinthine_a._ Pertaining to, or like, a labyrinth; labyrinthal.
Labyrinthodon_n._ A genus of very large fossil amphibians, of the Triassic period, having bony plates on the under side of the body. It is the type of the order Labyrinthodonta. Called also Mastodonsaurus.
Labyrinthodont_a._ Of or pertaining to the Labyrinthodonta.
Labyrinthodont_n._ One of the Labyrinthodonta.
Labyrinthodonta_n. pl._ An extinct order of Amphibia, including the typical genus Labyrinthodon, and many other allied forms, from the Carboniferous, Permian, and Triassic formations. By recent writers they are divided into two or more orders. See Stegocephala.
Lac_n._ Alt. of Lakh
Lakh_n._ One hundred thousand; also, a vaguely great number; as, a lac of rupees.
Lac_n._ A resinous substance produced mainly on the banyan tree, but to some extent on other trees, by the Coccus lacca, a scale-shaped insect, the female of which fixes herself on the bark, and exudes from the margin of her body this resinous substance.
Laccic_a._ Pertaining to lac, or produced from it; as, laccic acid.
Laccin_n._ A yellow amorphous substance obtained from lac.
Laccolite_n._ Alt. of Laccolith
Laccolith_n._ A mass of igneous rock intruded between sedimentary beds and resulting in a mammiform bulging of the overlying strata.
Lace_n._ That which binds or holds, especially by being interwoven; a string, cord, or band, usually one passing through eyelet or other holes, and used in drawing and holding together parts of a garment, of a shoe, of a machine belt, etc._ A snare or gin, especially one made of interwoven cords; a net._ A fabric of fine threads of linen, silk, cotton, etc., often ornamented with figures; a delicate tissue of thread, much worn as an ornament of dress._ Spirits added to coffee or some other beverage.
Laced_imp. & p. p._ of Lace
Lacing_p. pr. & vb. n._ of Lace
Lace_v. t._ To fasten with a lace; to draw together with a lace passed through eyelet holes; to unite with a lace or laces, or, figuratively. with anything resembling laces._ To adorn with narrow strips or braids of some decorative material; as, cloth laced with silver._ To beat; to lash; to make stripes on._ To add spirits to (a beverage).
Lace_v. i._ To be fastened with a lace, or laces; as, these boots lace.
Lace-bark_n._ A shrub in the West Indies (Lagetta Iintearia); -- so called from the lacelike layers of its inner bark.
Laced_a._ Fastened with a lace or laces; decorated with narrow strips or braid. See Lace, v. t.
Laced_v. t._ Decorated with the fabric lace.
Lacedaemonian_a._ Of or pertaining to Lacedaemon or Sparta, the chief city of Laconia in the Peloponnesus.
Lacedaemonian_n._ A Spartan.
Lacemen_pl. _ of Laceman
Laceman_n._ A man who deals in lace.
Lacerable_a._ That can be lacerated or torn.
Lacerated_imp. & p. p._ of Lacerate
Lacerating_p. pr. & vb. n._ of Lacerate
Lacerate_v. t._ To tear; to rend; to separate by tearing; to mangle; as, to lacerate the flesh. Hence: To afflict; to torture; as, to lacerate the heart.
Lacerate_p. a._ Alt. of Lacerated
Lacerated_p. a._ Rent; torn; mangled; as, a lacerated wound._ Jagged, or slashed irregularly, at the end, or along the edge.
Laceration_n._ The act of lacerating._ A breach or wound made by lacerating.
Lacerative_a._ Lacerating, or having the power to lacerate; as, lacerative humors.
Lacert_n._ A muscle of the human body.
Lacerta_n._ A fathom._ A genus of lizards. See Lizard._ The Lizard, a northern constellation.
Lacertian_a._ Like a lizard; of or pertaining to the Lacertilia.
Lacertian_n._ One of the Lacertilia.
Lacertilia_n. pl._ An order of Reptilia, which includes the lizards.
Lacertilian_a. & n._ Same as Lacertian.
Lacertiloid_a._ Like or belonging to the Lacertilia.
Lacertine_a._ Lacertian.
Lacerti_pl. _ of Lacertus
Lacertus_n._ A bundle or fascicle of muscular fibers.
Lacewing_n._ Any one of several species of neuropterous insects of the genus Chrysopa and allied genera. They have delicate, lacelike wings and brilliant eyes. Their larvae are useful in destroying aphids. Called also lace-winged fly, and goldeneyed fly.
Lace-winged_a._ Having thin, transparent, reticulated wings; as, the lace-winged flies.
Laches_n._ Alt. of Lache
Lache_n._ Neglect; negligence; remissness; neglect to do a thing at the proper time; delay to assert a claim.
Lachrymable_a._ Lamentable.
Lachrymae Christi__ A rich, sweet, red Neapolitan wine.
Lachrymal_a._ Of or pertaining to tears; as, lachrymal effusions._ Pertaining to, or secreting, tears; as, the lachrymal gland._ Pertaining to the lachrymal organs; as, lachrymal bone; lachrymal duct.
Lacrymal_n._ Alt. of Lacrymal_ See Lachrymatory.
Lachrymary_a._ Containing, or intended to contain, tears; lachrymal.
Lachrymate_v. i._ To weep.
Lachrymation_n._ The act of shedding tears; weeping.
ries_pl. _ of Lachrymatory
Lachrymatory_n._" A ""tear-bottle;"" a narrow-necked vessel found in sepulchers of the ancient Romans; -- so called from a former notion that the tears of the deceased person's friends were collected in it. Called also lachrymal or lacrymal."
Lachrymiform_a._ Having the form of a tear; tear-shaped.
Lachrymose_a._ Generating or shedding tears; given to shedding tears; suffused with tears; tearful.
Lacing_n._ The act of securing, fastening, or tightening, with a lace or laces._ A lace; specifically (Mach.), a thong of thin leather for uniting the ends of belts._ A rope or line passing through eyelet holes in the edge of a sail or an awning to attach it to a yard, gaff, etc._ A system of bracing bars, not crossing each other in the middle, connecting the channel bars of a compound strut.
Laciniae_pl. _ of Lacinia
Lacinia_n._ One of the narrow, jagged, irregular pieces or divisions which form a sort of fringe on the borders of the petals of some flowers._ A narrow, slender portion of the edge of a monophyllous calyx, or of any irregularly incised leaf._ The posterior, inner process of the stipes on the maxillae of insects.
Laciniate_a._ Alt. of Laciniated
Laciniated_a._ Fringed; having a fringed border._ Cut into deep, narrow, irregular lobes; slashed.
Laciniolate_a._ Consisting of, or abounding in, very minute laciniae.
Lacinulae_pl. _ of Lacinula
Lacinulas_pl. _ of Lacinula
Lacinula_n._ A diminutive lacinia.
Lack_n._ Blame; cause of blame; fault; crime; offense._ Deficiency; want; need; destitution; failure; as, a lack of sufficient food.
Lacked_imp. & p. p._ of Lack
Lacking_p. pr. & vb. n._ of Lack
Lack_v. t._ To blame; to find fault with._ To be without or destitute of; to want; to need.
Lack_v. i._ To be wanting; often, impersonally, with of, meaning, to be less than, short, not quite, etc._ To be in want.
Lack_interj._ Exclamation of regret or surprise.
Lackadaisical_a._ Affectedly pensive; languidly sentimental.
Lackadaisy_interj._ An expression of languor.
Lackadaisy_a._ Lackadaisical.
Lackaday_interj._ Alack the day; alas; -- an expression of sorrow, regret, dissatisfaction, or surprise.
Lackbrain_n._ One who is deficient in understanding; a witless person.
Lacker_n._ One who lacks or is in want.
Lacker_n. & v._ See Lacquer.
Lackeys_pl. _ of Lackey
Lackey_v._ An attending male servant; a footman; a servile follower.
Lackey_v. t._ To attend as a lackey; to wait upon.
Lackeyed_imp. & p. p._ of Lackey
Lackeying_p. pr. & vb. n._ of Lackey
Lackey_v. i._ To act or serve as lackey; to pay servile attendance.
Lackluster_n._ Alt. of Lacklustre
Lacklustre_n._ A want of luster.
Lacklustre_a._ Wanting luster or brightness.
Lacmus_n._ See Litmus.
Laconian_a._ Of or pertaining to Laconia, a division of ancient Greece; Spartan.
Laconian_n._ An inhabitant of Laconia; esp., a Spartan.
Laconic_a._ Alt. of Laconical
Laconical_a._ Expressing much in few words, after the manner of the Laconians or Spartans; brief and pithy; brusque; epigrammatic. In this sense laconic is the usual form._ Laconian; characteristic of, or like, the Spartans; hence, stern or severe; cruel; unflinching.
Laconic_n._ Laconism.
Laconical_a._ See Laconic, a.
Laconically_adv._ In a laconic manner.
LaconIcism_n._ Same as Laconism.
Laconism_n._ A vigorous, brief manner of expression; laconic style._ An instance of laconic style or expression.
Laconized_imp. & p. p._ of Laconize
Laconizing_p. pr. & vb. n._ of Laconize
Laconize_v. i._ To imitate the manner of the Laconians, especially in brief, pithy speech, or in frugality and austerity.
Lacquer_n._ A varnish, consisting of a solution of shell-lac in alcohol, often colored with gamboge, saffron, or the like; -- used for varnishing metals, papier-mache, and wood. The name is also given to varnishes made of other ingredients, esp. the tough, solid varnish of the Japanese, with which ornamental objects are made.
Lacquered_imp. & p. p._ of Lacquer
Lacquering_p. pr. & vb. n._ of Lacquer
Lacquer_v. t._ To cover with lacquer.
Lacquerer_n._ One who lacquers, especially one who makes a business of lacquering.
Lacquering_n._ The act or business of putting on lacquer; also, the coat of lacquer put on.
Lacrimoso_a._ Plaintive; -- a term applied to a mournful or pathetic movement or style.
Lacrosse_n._" A game of ball, originating among the North American Indians, now the popular field sport of Canada, and played also in England and the United States. Each player carries a long-handled racket, called a ""crosse"". The ball is not handled but caught with the crosse and carried on it, or tossed from it, the object being to carry it or throw it through one of the goals placed at opposite ends of the field."
Lacrymal_n. & a._ See Lachrymatory, n., and Lachrymal, a.
Lacrymary__ Alt. of Lacrymose
Lacrytory__ Alt. of Lacrymose
Lacrymose__ See Lachrymary, Lachrymatory, Lachrymose.
Lactage_n._ The produce of animals yielding milk; milk and that which is made from it.
Lactam_n._ One of a series of anhydrides of an amido type, analogous to the lactones, as oxindol.
Lactamic_a._ Pertaining to, or designating, an amido acid related to lactic acid, and called also amido-propionic acid.
Lactamide_n._ An acid amide derived from lactic acid, and obtained as a white crystalline substance having a neutral reaction. It is metameric with alanine.
Lactant_a._ Suckling; giving suck.
Lactarene_n._ A preparation of casein from milk, used in printing calico.
Lactary_a._ Milky; full of white juice like milk.
Lactary_n._ a dairyhouse.
Lactate_n._ A salt of lactic acid.
Lactation_n._ A giving suck; the secretion and yielding of milk by the mammary gland.
Lacteal_a._ Pertaining to, or resembling, milk; milky; as, the lacteal fluid._ Pertaining to, or containing, chyle; as, the lacteal vessels.
Lacteal_n._ One of the lymphatic vessels which convey chyle from the small intestine through the mesenteric glands to the thoracic duct; a chyliferous vessel.
Lacteally_adv._ Milkily; in the manner of milk.
Lactean_a._ Milky; consisting of, or resembling, milk._ Lacteal; conveying chyle.
Lacteous_a._ Milky; resembling milk._ Lacteal; conveying chyle; as, lacteous vessels.
Lacteously_adv._ In a lacteous manner; after the manner of milk.
Lactescence_n._ The state or quality of producing milk, or milklike juice; resemblance to milk; a milky color._ The latex of certain plants. See Latex.
Lactescent_a._ Having a milky look; becoming milky._ Producing milk or a milklike juice or fluid, as the milkweed. See Latex.
Lactic_a._ Of or pertaining to milk; procured from sour milk or whey; as, lactic acid; lactic fermentation, etc.
Lactide_n._ A white, crystalline substance, obtained from also, by extension, any similar substance.
Lactiferous_a._ Bearing or containing milk or a milky fluid; as, the lactiferous vessels, cells, or tissue of various vascular plants.
Lactific_a._ Alt. of Lactifical
Lactifical_a._ Producing or yielding milk.
Lactifuge_n._ A medicine to check the secretion of milk, or to dispel a supposed accumulation of milk in any part of the body.
Lactim_n._ One of a series of anhydrides resembling the lactams, but of an imido type; as, isatine is a lactim.  Cf. Lactam.
Lactimide_n._ A white, crystalline substance obtained as an anhydride of alanine, and regarded as an imido derivative of lactic acid.
Lactin_n._ See Lactose.
Lactoabumin_n._ The albumin present on milk, apparently identical with ordinary serum albumin. It is distinct from the casein of milk.
Lactobutyrometer_n._ An instrument for determining the amount of butter fat contained in a given sample of milk.
Lactodensimeter_n._ A form of hydrometer, specially graduated, for finding the density of milk, and thus discovering whether it has been mixed with water or some of the cream has been removed.
Lactometer_n._ An instrument for estimating the purity or richness of milk, as a measuring glass, a specific gravity bulb, or other apparatus.
Lactone_n._ One of a series of organic compounds, regarded as anhydrides of certain hydroxy acids. In general, they are colorless liquids, having a weak aromatic odor. They are so called because the typical lactone is derived from lactic acid.
Lactonic_a._ Of, pertaining to, or derived from, lactone._ Pertaining to, or designating, an acid obtained by the oxidation of milk sugar (lactose).
Lactoprotein_n._ A peculiar albuminous body considered a normal constituent of milk.
Lactory_a._ Lactiferous.
Lactoscope_n._ An instrument for estimating the amount of cream contained in milk by ascertaining its relative opacity.
Lactose_n._ Sugar of milk or milk sugar; a crystalline sugar present in milk, and separable from the whey by evaporation and crystallization. It has a slightly sweet taste, is dextrorotary, and is much less soluble in water than either cane sugar or glucose. Formerly called lactin._ See Galactose.
Lactuca_n._ A genus of composite herbs, several of which are cultivated foe salad; lettuce.
Lactucarium_n._ The inspissated juice of the common lettuce, sometimes used as a substitute for opium.
Lactucic_a._ Pertaining to, or derived from, the juice of the Lactuca virosa; -- said of certain acids.
Lactucin_n._ A white, crystalline substance, having a bitter taste and a neutral reaction, and forming one of the essential ingredients of lactucarium.
Lactucone_n._ A white, crystalline, tasteless substance, found in the milky sap of species of Lactuca, and constituting an essential ingredient of lactucarium.
Lacturamic_a._ Pertaining to, or designating, an organic amido acid, which is regarded as a derivative of lactic acid and urea.
Lactyl_n._ An organic residue or radical derived from lactic acid.
Lacunae_pl. _ of Lacuna
Lacunas_pl. _ of Lacuna
Lacuna_n._ A small opening; a small pit or depression; a small blank space; a gap or vacancy; a hiatus._ A small opening; a small depression or cavity; a space, as a vacant space between the cells of plants, or one of the spaces left among the tissues of the lower animals, which serve in place of vessels for the circulation of the body fluids, or the cavity or sac, usually of very small size, in a mucous membrane.
Lacunal_a._ Alt. of Lacunar
Lacunar_a._ Pertaining to, or having, lacunae; as, a lacunar circulation.
Lacunars_pl. _ of Lacunar
Lacunaria_pl. _ of Lacunar
Lacunar_n._ The ceiling or under surface of any part, especially when it consists of compartments, sunk or hollowed without spaces or bands between the panels._ One of the sunken panels in such a ceiling.
Lacune_n._ A lacuna.
Lacunose_a._ Alt. of Lacunous
Lacunous_a._ Furrowed or pitted; having shallow cavities or lacunae; as, a lacunose leaf.
Lacustral_a._ Alt. of Lacustrine
Lacustrine_a._ Found in, or pertaining to, lakes or ponds, or growing in them; as, lacustrine flowers.
Lacwork_n._ Ornamentation by means of lacquer painted or carved, or simply colored, sprinkled with gold or the like; -- said especially of Oriental work of this kind.
Lad__ p. p. of Lead, to guide.
Lad_n._ A boy; a youth; a stripling._ A companion; a comrade; a mate.
Ladanum_n._ A gum resin gathered from certain Oriental species of Cistus. It has a pungent odor and is chiefly used in making plasters, and for fumigation.
Ladde_obs. imp._ of Lead, to guide.
Ladder_v. i._ A frame usually portable, of wood, metal, or rope, for ascent and descent, consisting of two side pieces to which are fastened cross strips or rounds forming steps._ That which resembles a ladder in form or use; hence, that by means of which one attains to eminence.
Laddie_n._ A lad; a male sweetheart.
Laded_imp._ of Lade
Laded_p. p._ of Lade
Laded__ of Lade
Lading_p. pr. & vb. n._ of Lade
Lade_v. t._ To load; to put a burden or freight on or in; -- generally followed by that which receives the load, as the direct object._ To throw in out. with a ladle or dipper; to dip; as, to lade water out of a tub, or into a cistern._ To transfer (the molten glass) from the pot to the forming table._ To draw water._ To admit water by leakage, as a ship, etc.
Lade_n._ The mouth of a river._ A passage for water; a ditch or drain.
Lademan_n._ One who leads a pack horse; a miller's servant.
Laden_p. & a._ Loaded; freighted; burdened; as, a laden vessel; a laden heart.
Ladied_a._ Ladylike; not rough; gentle.
Ladies' eardrops__ The small-flowered Fuchsia (F. coccinea), and other closely related species.
Ladify_v. t._ To make a lady of; to make ladylike.
Ladin_n._ A Romansch dialect spoken in some parts of Switzerland and the Tyrol.
Lading_n._ The act of loading._ That which lades or constitutes a load or cargo; freight; burden; as, the lading of a ship.
Ladinos_pl. _ of Ladino
Ladino_n._ One of the half-breed descendants of whites and Indians; a mestizo; -- so called throughout Central America. They are usually of a yellowish orange tinge.
Ladkin_n._ A little lad.
Ladle_v. t._ A cuplike spoon, often of large size, with a long handle, used in lading or dipping._ A vessel to carry liquid metal from the furnace to the mold._ The float of a mill wheel; -- called also ladle board._ An instrument for drawing the charge of a cannon._ A ring, with a handle or handles fitted to it, for carrying shot.
Ladled_imp. & p. p._ of Ladle
Ladling_p. pr. & vb. n._ of Ladle
Ladle_v. t._ To take up and convey in a ladle; to dip with, or as with, a ladle; as, to ladle out soup; to ladle oatmeal into a kettle.
Ladlefuls_pl. _ of Ladleful
Ladleful_n._ A quantity sufficient to fill a ladle.
Ladrone_n._ A robber; a pirate; hence, loosely, a rogue or rascal.
Ladies_pl. _ of Lady
Lady_n._ A woman who looks after the domestic affairs of a family; a mistress; the female head of a household._ A woman having proprietary rights or authority; mistress; -- a feminine correlative of lord._ A woman to whom the particular homage of a knight was paid; a woman to whom one is devoted or bound; a sweetheart._ A woman of social distinction or position. In England, a title prefixed to the name of any woman whose husband is not of lower rank than a baron, or whose father was a nobleman not lower than an earl. The wife of a baronet or knight has the title of Lady by courtesy, but not by right._ A woman of refined or gentle manners; a well-bred woman; -- the feminine correlative of gentleman._ A wife; -- not now in approved usage._ The triturating apparatus in the stomach of a lobster; -- so called from a fancied resemblance to a seated female figure. It consists of calcareous plates.
Lady_a._ Belonging or becoming to a lady; ladylike.
Ladybird_n._ Any one of numerous species of small beetles of the genus Coccinella and allied genera (family Coccinellidae); -- called also ladybug, ladyclock, lady cow, lady fly, and lady beetle. Coccinella seplempunctata in one of the common European species. See Coccinella.
Ladybug_n._ Same as Ladybird.
Ladyclock_n._ See Ladyrird.
Lady__ The day of the annunciation of the Virgin Mary, March 25. See Annunciation.
Ladyfish_n._ A large, handsome oceanic fish (Albula vulpes), found both in the Atlantic and Pacific oceans; -- called also bonefish, grubber, French mullet, and macabe._ A labroid fish (Harpe rufa) of Florida and the West Indies.
Ladyhood_n._ The state or quality of being a lady; the personality of a lady.
Lady-killer_n._ A gallant who captivates the hearts of women.
Lady-killing_n._ The art or practice of captivating the hearts of women.
Ladykin_n._ A little lady; -- applied by the writers of Queen Elizabeth's time, in the abbreviated form Lakin, to the Virgin Mary.
Ladylike_a._ Like a lady in appearance or manners; well-bred._ Becoming or suitable to a lady; as, ladylike manners._ Delicate; tender; feeble; effeminate.
Ladylikeness_n._ The quality or state of being ladylike.
Ladylove_n._ A sweetheart or mistress.
Lady's bedstraw__ The common bedstraw (Galium verum); also, a slender-leaved East Indian shrub (Pharnaceum Mollugo), with white flowers in umbels.
Lady's bower__ A climbing plant with fragrant blossoms (Clematis vitalba).
Lady's comb__ An umbelliferous plant (Scandix Pecten-Veneris), its clusters of long slender fruits remotely resembling a comb.
Lady's cushion__ An herb growing in dense tufts; the thrift (Armeria vulgaris).
Lady's finger__ The kidney vetch._ A variety of small cake of about the dimensions of a finger._ A long, slender variety of the potato._ One of the branchiae of the lobster.
Lady's garters__ Ribbon grass.
Lady's hair__ A plant of the genus Briza (B. media); a variety of quaking grass.
Ladyship_n._ The rank or position of a lady; -- given as a title (preceded by her or your).
Lady's laces__ A slender climbing plant; dodder.
Lady's looking-glass__ See Venus's looking-glass, under Venus.
Lady's mantle__ A genus of rosaceous herbs (Alchemilla), esp. the European A. vulgaris, which has leaves with rounded and finely serrated lobes.
Lady's seal__ The European Solomon's seal (Polygonatum verticillatum)._ The black bryony (Tamus communis).
Lady's slipper__ Any orchidaceous plant of the genus Cypripedium, the labellum of which resembles a slipper. Less commonly, in the United States, the garden balsam (Impatiens Balsamina).
Lady's smock__ A plant of the genus Cardamine (C. pratensis); cuckoo flower.
Lady's thimble__ The harebell.
Lady's thumb__ An annual weed (Polygonum Persicaria), having a lanceolate leaf with a dark spot in the middle.
Lady's traces__ Alt. of Ladies' tresses
Ladies' tresses__ A name given to several species of the orchidaceous genus Spiranthes, in which the white flowers are set in spirals about a slender axis and remotely resemble braided hair.
Laelaps_n._ A genus of huge, carnivorous, dinosaurian reptiles from the Cretaceous formation of the United States. They had very large hind legs and tail, and are supposed to have been bipedal. Some of the species were about eighteen feet high.
Laemmergeyer_n._ See Lammergeir.
